Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
NY,Male,Right-Handed,Skateboarding/Rollerblading,797.0,February,Tea,Art,12.0,15.0,15.0,Graduate degree
NY,Female,Right-Handed,Swimming,572.0,November,Water,Geography,12.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Bowling,750.0,April,Water,Mathematics and statistics,6.0,0.0,0.0,Other
NY,Female,Right-Handed,Athletics (Track & Field),1000.0,July,Water,Physical education,5.0,12.0,12.0,Undergraduate degree
NY,Female,Right-Handed,Swimming,999.0,November,Water,Other,12.0,0.0,0.0,High school
NY,Male,Right-Handed,Soccer,700.0,June,Sports drink,Physical education,9.0,0.0,0.0,Some college
NY,Male,Right-Handed,Basketball,800.0,March,Water,Computers and technology,9.0,0.0,0.0,Undergraduate degree
NY,Male,Right-Handed,Basketball,64.0,March,Water,Computers and technology,9.0,12.0,12.0,Graduate degree
NY,Female,Right-Handed,Lacrosse,876.0,February,Soft drink (caffeinated),Physical education,7.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Soccer,1000.0,April,Water,History,8.0,1.0,1.0,Undergraduate degree
NY,Female,Right-Handed,Walking/Hiking,1000.0,November,Water,Mathematics and statistics,8.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Other activities/sports,350.0,April,Water,Mathematics and statistics,8.0,15.0,15.0,Graduate degree
NY,Female,Right-Handed,Other activities/sports,90.0,April,Water,Science,7.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Basketball,540.0,April,Tea,Mathematics and statistics,7.0,0.0,0.0,Graduate degree
NY,Female,Ambidextrous,Soccer,1000.0,July,Water,Art,8.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Gymnastics,780.0,September,Soft drink (caffeinated),Mathematics and statistics,10.0,0.0,0.0,Graduate degree
NY,Female,Left-Handed,Swimming,85.0,September,Water,Mathematics and statistics,8.0,10.0,10.0,Other
NY,Female,Right-Handed,Soccer,800.0,March,Water,Mathematics and statistics,8.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Walking/Hiking,200.0,August,Water,English,9.0,0.0,0.0,Graduate degree
NY,Female,Left-Handed,Soccer,1000.0,February,Water,History,9.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Basketball,1000.0,December,Other,Mathematics and statistics,13.0,0.0,24.0,Graduate degree
NY,Female,Right-Handed,Walking/Hiking,1000.0,June,Water,Mathematics and statistics,7.0,6.0,6.0,Graduate degree
NY,Male,Right-Handed,Other activities/sports,1000.0,April,Water,Mathematics and statistics,8.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Other activities/sports,750.0,February,Coffee,History,8.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Swimming,0.0,March,Juice,Mathematics and statistics,11.0,0.0,0.0,Less than high school
NY,Male,Right-Handed,Basketball,1000.0,October,Water,Mathematics and statistics,9.0,0.0,0.0,Other
NY,Female,Right-Handed,Walking/Hiking,1000.0,December,Coffee,Art,11.0,0.0,0.0,Some college
NY,Female,Right-Handed,Walking/Hiking,717.0,May,Water,Science,8.0,0.0,0.0,Graduate degree
NY,Female,Left-Handed,Other activities/sports,797.0,January,Water,Physical education,7.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Running/Jogging,1000.0,December,Water,English,9.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Table Tennis,900.0,March,Coffee,Art,10.0,8.0,8.0,Graduate degree
NY,Female,Ambidextrous,Soccer,1000.0,August,Energy drink,Science,4.0,0.0,0.0,Graduate degree
NY,Female,Left-Handed,Dancing,791.0,May,Coffee,Mathematics and statistics,10.0,10.0,10.0,Graduate degree
NY,Male,Right-Handed,Other activities/sports,650.0,September,Water,Physical education,9.0,3.0,3.0,Graduate degree
NY,Female,Right-Handed,Other activities/sports,1000.0,October,Tea,English,10.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Hockey (Ice),550.0,April,Water,History,11.0,12.0,12.0,Graduate degree
NY,Female,Right-Handed,Hockey (Ice),1000.0,July,Tea,Mathematics and statistics,7.0,0.0,0.0,Less than high school
NY,Female,Right-Handed,Hockey (Field),765.0,June,Water,Art,9.0,12.0,12.0,Undergraduate degree
NY,Male,Right-Handed,Martial Arts,50.0,October,Water,Mathematics and statistics,8.0,0.0,0.0,Other
NY,Male,Right-Handed,Rowing,700.0,May,Water,History,8.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Soccer,984.0,March,Water,Social studies,6.5,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Other activities/sports,800.0,January,Water,Physical education,9.0,0.0,0.0,Graduate degree
NY,Female,Left-Handed,Soccer,900.0,June,Water,English,9.0,0.0,0.0,Undergraduate degree
NY,Female,Right-Handed,Gymnastics,850.0,May,Water,English,9.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Other activities/sports,800.0,September,Water,Other,10.0,18.0,18.0,Graduate degree
NY,Female,Right-Handed,Soccer,500.0,November,Water,Science,9.0,5.0,5.0,Other
NY,Male,Right-Handed,Soccer,706.0,August,Water,Art,10.0,0.0,0.0,Undergraduate degree
NY,Female,Right-Handed,Other activities/sports,100.0,December,Coffee,Music,6.0,12.0,12.0,Graduate degree
NY,Male,Right-Handed,Football (American),700.0,March,Water,Art,12.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Dancing,700.0,September,Water,Mathematics and statistics,8.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Basketball,1.0,October,Soft drink (caffeinated),Mathematics and statistics,6.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Lacrosse,0.0,March,Soft drink (caffeinated),English,9.0,25.0,25.0,Graduate degree
NY,Male,Right-Handed,Other activities/sports,1000.0,November,Soft drink (non-caffeinated),History,9.0,0.0,0.0,Graduate degree
NY,Male,Left-Handed,Basketball,802.0,December,Milk,Physical education,7.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Baseball/Softball,620.0,June,Soft drink (non-caffeinated),Physical education,10.0,14.0,14.0,Graduate degree
NY,Male,Right-Handed,Dancing,1000.0,November,Water,Music,10.0,0.0,0.0,Undergraduate degree
NY,Female,Right-Handed,Tennis,500.0,February,Water,Mathematics and statistics,10.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Other activities/sports,1000.0,January,Water,Mathematics and statistics,11.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Other activities/sports,40.0,May,Other,Mathematics and statistics,10.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Skateboarding/Rollerblading,100.0,November,Water,Physical education,10.0,0.0,0.0,Graduate degree
